Strike,Spot,Moneyness,Type,Market_Price,BS_Price,Delta,Gamma,Vega,Theta
170.0,271.01,0.6272831260839083,Call,103.82,101.63760576702228,1.0,1.3029312046476583e-18,1.4157710031148907e-17,-0.023201697840133935
170.0,271.01,0.6272831260839083,Put,0.02,3.6489224137440424e-18,0.0,1.3029312046476583e-18,1.4157710031148907e-17,-5.161890635980537e-18
185.0,271.01,0.6826316372089591,Call,89.84,86.69298274646658,0.9999999999994368,2.7695168017435684e-13,3.009369617184326e-12,-0.025248906474180446
185.0,271.01,0.6826316372089591,Put,0.03,1.133083616162912e-12,-5.632161403923419e-13,2.7695168017435684e-13,3.009369617184326e-12,-1.0935185871214639e-12
190.0,271.01,0.7010811409173093,Call,84.52,81.71144173965075,0.999999999982502,8.034099477323768e-12,8.72988921868012e-11,-0.025931309382416078
190.0,271.01,0.7010811409173093,Put,0.04,3.763249041881202e-11,-1.7498003046512167e-11,8.034099477323768e-12,8.72988921868012e-11,-3.167816088933338e-11
195.0,271.01,0.7195306446256596,Call,81.7,76.72990073367464,0.9999999996035027,1.6948232273194005e-10,1.841602666422651e-09,-0.026613712895618976
195.0,271.01,0.7195306446256596,Put,0.02,9.137941125242487e-10,-3.9649727945345603e-10,1.6948232273194005e-10,1.841602666422651e-09,-6.672300574004757e-10
200.0,271.01,0.7379801483340098,Call,70.5,71.74835974250092,0.999999993300092,2.6575440788990237e-09,2.887699544675781e-08,-0.027296125550218705
200.0,271.01,0.7379801483340098,Put,0.04,1.6592332615633824e-08,-6.699907961760232e-09,2.6575440788990237e-09,2.887699544675781e-08,-1.0444178788731792e-08
205.0,271.01,0.7564296520423601,Call,66.35,66.76681894906272,0.999999913832432,3.160042527039314e-08,3.433716655517515e-07,-0.027978641927932684
205.0,271.01,0.7564296520423601,Put,0.05,2.3000641340898456e-07,-8.616756796975267e-08,3.160042527039314e-08,3.433716655517515e-07,-1.239442417639355e-07
210.0,271.01,0.7748791557507103,Call,60.8,61.7852801933449,0.9999991405385401,2.902087035058776e-07,3.1534210387285686e-06,-0.028662056547965286
210.0,271.01,0.7748791557507103,Put,0.09,2.4811408914371944e-06,-8.594614598900208e-07,2.902087035058776e-07,3.1534210387285686e-06,-1.135686623370608e-06
215.0,271.01,0.7933286594590606,Call,57.2,56.80375790549502,0.999993235228839,2.0932452109177606e-06,2.2745298151239622e-05,-0.029351493879551504
215.0,271.01,0.7933286594590606,Put,0.12,2.1200143263016332e-05,-6.76477116101637e-06,2.0932452109177606e-06,2.2745298151239622e-05,-8.170140558592707e-06
220.0,271.01,0.8117781631674108,Call,53.47,51.82234156907222,0.9999573015442489,1.2042459389203714e-05,0.00013085391422514752,-0.030072585881502637
220.0,271.01,0.8117781631674108,Put,0.18,0.00014587057284727763,-4.26984557511112e-05,1.2042459389203714e-05,0.00013085391422514752,-4.6859264858726585e-05
225.0,271.01,0.8302276668757611,Call,48.64,46.84147550287389,0.999780611540877,5.6047279265203783e-05,0.000609012298608782,-0.030925432443584776
225.0,271.01,0.8302276668757611,Put,0.22,0.0008208112267312356,-0.0002193884591229489,5.6047279265203783e-05,0.000609012298608782,-0.00021730294928986555
